la_name,base,recent,delta,pct_delta,flag
Cardiff,246,106,-140,-56.91056910569105,improved
Swansea,168,78,-90,-53.57142857142857,improved
South Holland,144,87,-57,-39.58333333333333,improved
Wokingham,123,78,-45,-36.58536585365854,improved
Milton Keynes,253,162,-91,-35.96837944664031,improved
Rhondda Cynon Taf,149,98,-51,-34.22818791946309,improved
Aberdeen City,167,113,-54,-32.33532934131736,improved
Warwick,181,125,-56,-30.939226519337016,improved
Bath and North East Somerset,115,81,-34,-29.565217391304348,improved
Warrington,229,162,-67,-29.257641921397383,improved
Swindon,199,141,-58,-29.145728643216078,improved
Vale of White Horse,175,124,-51,-29.142857142857142,improved
South Oxfordshire,205,146,-59,-28.780487804878046,improved
Windsor and Maidenhead,150,107,-43,-28.666666666666668,improved
Slough,134,97,-37,-27.611940298507463,improved
South Ayrshire,144,105,-39,-27.083333333333332,improved
Aberdeenshire,363,265,-98,-26.997245179063363,improved
Fareham,178,132,-46,-25.842696629213485,improved
Conwy,165,123,-42,-25.454545454545453,improved
Coventry,331,248,-83,-25.075528700906347,improved
Sefton,298,224,-74,-24.832214765100673,improved
Rugby ,204,157,-47,-23.03921568627451,improved
Teignbridge,178,139,-39,-21.910112359550563,improved
Shepway,173,136,-37,-21.38728323699422,improved
Wirral,364,287,-77,-21.153846153846153,improved
East Hampshire,209,165,-44,-21.052631578947366,improved
South Hams,130,103,-27,-20.76923076923077,improved
Cheshire East,492,394,-98,-19.91869918699187,improved
York,165,133,-32,-19.393939393939394,improved
Havant,158,128,-30,-18.9873417721519,improved
West Devon,124,101,-23,-18.548387096774192,improved
Denbighshire,147,121,-26,-17.687074829931973,improved
Cherwell,210,173,-37,-17.61904761904762,improved
North Devon,125,103,-22,-17.599999999999998,improved
Thurrock,217,179,-38,-17.51152073732719,improved
West Berkshire,157,130,-27,-17.197452229299362,improved
Lincoln,106,88,-18,-16.9811320754717,improved
Cheshire West and Chester,378,314,-64,-16.93121693121693,improved
North Hertfordshire,155,129,-26,-16.7741935483871,improved
Stoke-on-Trent,170,142,-28,-16.470588235294116,improved
Oxford,185,155,-30,-16.216216216216218,improved
Liverpool,655,549,-106,-16.18320610687023,improved
Plymouth,261,219,-42,-16.091954022988507,improved
Reading,132,111,-21,-15.909090909090908,improved
Eastleigh,170,143,-27,-15.88235294117647,improved
South Tyneside,119,101,-18,-15.126050420168067,improved
Flintshire,133,153,20,15.037593984962406,worsened
Malvern Hills,96,111,15,15.625,worsened
Middlesbrough,115,133,18,15.65217391304348,worsened
Mid Suffolk,111,129,18,16.216216216216218,worsened
Bromley,258,300,42,16.27906976744186,worsened
Hackney,325,381,56,17.23076923076923,worsened
Burnley,139,163,24,17.26618705035971,worsened
South Gloucestershire,130,153,23,17.692307692307693,worsened
South Derbyshire,101,119,18,17.82178217821782,worsened
Newark and Sherwood,176,208,32,18.181818181818183,worsened
Haringey,269,318,49,18.21561338289963,worsened
Ashfield,119,141,22,18.487394957983195,worsened
Exeter,107,127,20,18.69158878504673,worsened
North Lanarkshire,214,254,40,18.69158878504673,worsened
Ashford,179,214,35,19.553072625698324,worsened
Ealing,304,364,60,19.736842105263158,worsened
Stockport,161,193,32,19.875776397515526,worsened
Rochdale,156,188,32,20.51282051282051,worsened
Trafford,146,176,30,20.54794520547945,worsened
Pembrokeshire,188,227,39,20.74468085106383,worsened
South Norfolk,172,208,36,20.930232558139537,worsened
Leicester,254,308,54,21.25984251968504,worsened
Fife,239,292,53,22.17573221757322,worsened
Rushcliffe,135,165,30,22.22222222222222,worsened
Guildford,262,321,59,22.519083969465647,worsened
Swale,181,222,41,22.65193370165746,worsened
Reigate and Banstead,183,226,43,23.497267759562842,worsened
West Lancashire,151,187,36,23.841059602649008,worsened
Cotswold,177,220,43,24.293785310734464,worsened
Hastings,122,152,30,24.59016393442623,worsened
Renfrewshire,136,170,34,25.0,worsened
Bassetlaw,165,207,42,25.454545454545453,worsened
South Ribble,153,192,39,25.49019607843137,worsened
Wigan,200,251,51,25.5,worsened
Perth and Kinross,176,221,45,25.568181818181817,worsened
Ipswich,100,126,26,26.0,worsened
Gloucester,122,154,32,26.229508196721312,worsened
Tameside,154,196,42,27.27272727272727,worsened
Surrey Heath,102,130,28,27.450980392156865,worsened
Solihull,149,190,41,27.516778523489933,worsened
Carmarthenshire,258,329,71,27.51937984496124,worsened
Enfield,255,326,71,27.84313725490196,worsened
Tandridge,155,199,44,28.387096774193548,worsened
Runnymede,140,180,40,28.57142857142857,worsened
Barnet,301,388,87,28.903654485049834,worsened
Tower Hamlets,362,467,105,29.005524861878452,worsened
Sheffield,597,774,177,29.64824120603015,worsened
North East Lincolnshire,202,262,60,29.7029702970297,worsened
Wyre Forest,89,116,27,30.337078651685395,worsened
Westminster,568,741,173,30.457746478873236,worsened
Spelthorne,120,157,37,30.833333333333336,worsened
Hillingdon,222,292,70,31.53153153153153,worsened
Mole Valley,150,198,48,32.0,worsened
Salford,183,243,60,32.78688524590164,worsened
Nottingham,368,489,121,32.880434782608695,worsened
South Lanarkshire,237,316,79,33.33333333333333,worsened
Dumfries and Galloway,167,223,56,33.532934131736525,worsened
North Norfolk,119,159,40,33.61344537815126,worsened
Tunbridge Wells,132,177,45,34.090909090909086,worsened
Tewkesbury,120,161,41,34.166666666666664,worsened
Arun,193,259,66,34.196891191709845,worsened
Stroud,114,153,39,34.21052631578947,worsened
Doncaster,417,560,143,34.2925659472422,worsened
Barnsley,300,403,103,34.333333333333336,worsened
Medway,240,324,84,35.0,worsened
Manchester,442,598,156,35.294117647058826,worsened
Broadland,135,183,48,35.55555555555556,worsened
East Ayrshire,92,126,34,36.95652173913043,worsened
Bury,108,148,40,37.03703703703704,worsened
Babergh,93,128,35,37.634408602150536,worsened
Glasgow City,475,654,179,37.68421052631579,worsened
Lambeth,422,585,163,38.62559241706161,worsened
Wyre,164,228,64,39.02439024390244,worsened
Chorley,133,185,52,39.097744360902254,worsened
Great Yarmouth,94,131,37,39.361702127659576,worsened
Redbridge,193,269,76,39.37823834196891,worsened
Ceredigion,119,166,47,39.49579831932773,worsened
Blackburn with Darwen,199,279,80,40.20100502512563,worsened
Rotherham,299,423,124,41.47157190635451,worsened
High Peak,108,153,45,41.66666666666667,worsened
Derby,206,292,86,41.74757281553398,worsened
Derbyshire Dales,141,202,61,43.262411347517734,worsened
Hammersmith and Fulham,226,326,100,44.24778761061947,worsened
Hyndburn,101,146,45,44.554455445544555,worsened
Kirklees,405,592,187,46.17283950617284,worsened
King's Lynn and West Norfolk,178,261,83,46.62921348314607,worsened
Lewisham,234,347,113,48.29059829059829,worsened
Leeds,920,1369,449,48.80434782608696,worsened
Woking,97,145,48,49.48453608247423,worsened
North East Derbyshire,97,147,50,51.546391752577314,worsened
Preston,217,329,112,51.61290322580645,worsened
Wakefield,360,546,186,51.66666666666667,worsened
Hounslow,251,384,133,52.98804780876494,worsened
Crawley,125,192,67,53.6,worsened
Monmouthshire,67,103,36,53.73134328358209,worsened
Newport,92,142,50,54.347826086956516,worsened
Kensington and Chelsea,233,361,128,54.93562231759657,worsened
Forest of Dean,86,134,48,55.81395348837209,worsened
Blackpool,196,309,113,57.6530612244898,worsened
Wandsworth,314,496,182,57.961783439490446,worsened
Kingston upon Thames,111,176,65,58.55855855855856,worsened
Epsom and Ewell,66,105,39,59.09090909090909,worsened
Bexley,132,211,79,59.84848484848485,worsened
Cheltenham,75,123,48,64.0,worsened
Greenwich,190,314,124,65.26315789473685,worsened
Dundee City,83,140,57,68.67469879518072,worsened
Bradford,512,891,379,74.0234375,worsened
Calderdale,202,357,155,76.73267326732673,worsened
Merton,137,245,108,78.83211678832117,worsened
Sutton,108,196,88,81.48148148148148,worsened
Southwark,316,577,261,82.59493670886076,worsened
Caerphilly,87,159,72,82.75862068965517,worsened
Richmond upon Thames,158,289,131,82.91139240506328,worsened
Croydon,247,470,223,90.2834008097166,worsened
Highland,208,439,231,111.0576923076923,worsened
